sku,ean,descricao,criado_em,atualizado_em
AL599,7908713205718,LANTERNA DE CABEÇA 7 LED XM-L T6 4 MODOS 35000LM - CÓD: AL599 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6002-BL,7908713205305,APARELHO PARA ABDOMINAL COM VENTOSA COR: AZUL TAMANHO: 22X15X15CM - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6002-PK,7908713205312,APARELHO PARA ABDOMINAL COM VENTOSA COR: ROSA TAMANHO: 22X15X15CM - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6002-PU,7908713205329,APARELHO PARA ABDOMINAL COM VENTOSA COR: ROXO TAMANHO: 22X15X15CM - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6003,7908713205916,APARELHO PARA EXERCÍCIOS ABDOMINAIS - TAMANHO: 8X37X52CM - CÓD: AL6003 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6005,7908713208139,LANTERNA TATICA LED CREE XML T6 RECARREGAVEL - CÓD: AL6005 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6007,7908713201390,LANTERNA DE BICICLETA LED RECARREGAVEL - CÓD: AL6007 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6009-GN,7908713211931,BOLA BEACH TENNIS PACK COM 3 UNIDADES COR: VERDE - CÓD: AL6009-GN - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6010-BL,7908713208085,MARMITA ELÉTRICA COM DIVISÓRIA - COR: AZUL - CÓD: AL6010-BL - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6010-GN,7908713208078,MARMITA ELÉTRICA COM DIVISÓRIA - COR: VERDE - CÓD: AL6010-GN - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6010-O,7908713208061,MARMITA ELÉTRICA COM DIVISÓRIA - COR: LARANJA - CÓD: AL6010-O - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6010-R,7908713208047,MARMITA ELÉTRICA COM DIVISÓRIA - COR: VERMELHO - CÓD: AL6010-R - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6011,7908713205923,BICICLETA ERGOMETRICA VERTICAL - CÓD: AL6011 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6012-O,7908713208344,BICICLETA ERGOMETRICA DOBRÁVEL - COR: LARANJA - CÓD: AL6012-O - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
